ID,Type,Instance of,Relations,Data facts
http://n2t.net/ark:/21547/Q2MBIO21.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO21,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO21.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO21,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO21.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO21,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO22.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO22,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO22.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO22,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO22.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO22,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO25.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO25,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO25.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO25,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO25.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO25,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO26.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO26,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO26.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO26,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO26.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO26,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO29.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO29,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO29.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO29,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO29.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO29,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO30.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO30,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO30.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO30,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO30.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO30,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO33.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO33,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO33.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO33,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO33.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO33,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO34.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO34,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO34.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO34,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO34.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO34,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO35.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO35,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO35.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO35,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO35.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO35,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO36.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO36,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO36.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO36,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO36.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO36,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO170.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO170,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO39.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO39,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO39.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO39,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO39.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO39,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO2009.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO2009,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO40.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO40,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO40.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO40,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO40.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO40,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO41.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO41,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO41.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO41,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO41.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO41,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO42.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO42,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO42.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO42,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO42.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO42,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO45.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO45,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO45.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO45,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO45.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO45,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO46.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO46,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO46.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO46,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO46.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO46,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO49.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO49,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO49.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO49,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO49.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO49,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO50.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO50,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO50.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO50,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO50.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO50,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO53.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO53,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO53.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO53,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO53.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO53,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO54.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO54,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO54.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO54,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO54.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO54,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO56.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO56,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO56.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO56,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO56.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO56,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO57.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO57,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO57.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO57,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO57.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO57,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO60.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO60,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO60.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO60,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO60.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO60,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO61.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO61,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO61.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO61,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO61.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO61,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO62.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO62,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO62.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO62,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO62.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO62,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO63.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO63,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO63.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO63,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO63.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO63,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO64.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO64,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO64.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO64,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO64.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO64,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO65.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO65,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO65.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO65,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO65.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO65,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO68.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO68,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO68.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO68,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO68.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO68,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO69.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO69,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO69.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO69,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO69.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO69,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO71.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO71,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO71.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO71,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO71.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO71,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO204.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO204,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO204.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO204,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO204.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO204,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO205.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO205,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO205.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO205,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO206.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO206,"dwc:preservative ""95% ethanol"""
