ID,Type,Instance of,Relations
http://n2t.net/ark:/21547/Q2MBIO21.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO21
http://n2t.net/ark:/21547/Q2MBIO21.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO21
http://n2t.net/ark:/21547/Q2MBIO21.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO21
http://n2t.net/ark:/21547/Q2MBIO22.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO22
http://n2t.net/ark:/21547/Q2MBIO22.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO22
http://n2t.net/ark:/21547/Q2MBIO22.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO22
http://n2t.net/ark:/21547/Q2MBIO25.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO25
http://n2t.net/ark:/21547/Q2MBIO25.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO25
http://n2t.net/ark:/21547/Q2MBIO25.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO25
http://n2t.net/ark:/21547/Q2MBIO26.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO26
http://n2t.net/ark:/21547/Q2MBIO26.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO26
http://n2t.net/ark:/21547/Q2MBIO26.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO26
http://n2t.net/ark:/21547/Q2MBIO29.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO29
http://n2t.net/ark:/21547/Q2MBIO29.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO29
http://n2t.net/ark:/21547/Q2MBIO29.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO29
http://n2t.net/ark:/21547/Q2MBIO30.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO30
http://n2t.net/ark:/21547/Q2MBIO30.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO30
http://n2t.net/ark:/21547/Q2MBIO30.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO30
http://n2t.net/ark:/21547/Q2MBIO33.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO33
http://n2t.net/ark:/21547/Q2MBIO33.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO33
http://n2t.net/ark:/21547/Q2MBIO33.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO33
http://n2t.net/ark:/21547/Q2MBIO34.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO34
http://n2t.net/ark:/21547/Q2MBIO34.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO34
http://n2t.net/ark:/21547/Q2MBIO34.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO34
http://n2t.net/ark:/21547/Q2MBIO35.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO35
http://n2t.net/ark:/21547/Q2MBIO35.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO35
http://n2t.net/ark:/21547/Q2MBIO35.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO35
